pipeline,clip,status,n_frames,elapsed_s,resumed,BR_mean,BR_std,K_mean,K_std,wIoU_mean,wIoU_std,CD_mean,CD_std,error
cb_nbed_zs_dp,vault,OK,114,0.0,extrapolated,1.0,0.0,40.12,10.44,0.315,0.2852,nan,0.0,
cb_nbed_zs_ge,bmx,OK,120,0.0,extrapolated,0.54,0.189,12.0,6.84,0.0832,0.0568,nan,0.0,
cb_nbed_zs_ge,car,OK,112,0.0,extrapolated,1.0,0.0,167.99,36.1,0.3662,0.2765,nan,0.0,
cb_nbed_zs_ge,sphere,OK,136,0.0,extrapolated,1.0,0.0,22.43,11.93,0.9102,0.0373,nan,0.0,
cb_nbed_zs_ge,vault,OK,114,0.0,extrapolated,1.0,0.0,48.67,11.34,0.3125,0.2769,nan,0.0,
cb_nbed_steger_dp,bmx,OK,120,0.0,extrapolated,1.0,0.0,33.54,10.97,0.1153,0.0662,nan,0.0,
cb_nbed_steger_dp,car,OK,112,0.0,extrapolated,1.0,0.0,185.18,21.03,0.4031,0.3158,nan,0.0,
cb_nbed_steger_dp,sphere,OK,136,0.0,extrapolated,1.0,0.0,36.65,15.71,0.9196,0.0219,nan,0.0,
cb_nbed_steger_dp,vault,OK,114,0.0,extrapolated,1.0,0.0,52.2,13.57,0.3498,0.3064,nan,0.0,
cb_nbed_steger_ge,bmx,OK,120,0.0,extrapolated,1.0,0.0,33.54,10.97,0.1153,0.0662,nan,0.0,
cb_nbed_steger_ge,car,OK,112,0.0,extrapolated,1.0,0.0,185.18,21.03,0.4031,0.3158,nan,0.0,
cb_nbed_steger_ge,sphere,OK,136,0.0,extrapolated,1.0,0.0,36.65,15.71,0.9196,0.0219,nan,0.0,
cb_nbed_steger_ge,vault,OK,114,0.0,extrapolated,1.0,0.0,52.2,13.57,0.3498,0.3064,nan,0.0,
cb_nbed_steger_iarussi,bmx,OK,120,0.0,extrapolated,1.0,0.0,33.54,10.97,0.1153,0.0662,nan,0.0,
cb_nbed_steger_iarussi,car,OK,112,0.0,extrapolated,1.0,0.0,185.18,21.03,0.4031,0.3158,nan,0.0,
cb_nbed_steger_iarussi,sphere,OK,136,0.0,extrapolated,1.0,0.0,36.65,15.71,0.9196,0.0219,nan,0.0,
cb_nbed_steger_iarussi,vault,OK,114,0.0,extrapolated,1.0,0.0,52.2,13.57,0.3498,0.3064,nan,0.0,
